dataset,seed,cell,patient_idx,success,abstain_stage,latency_sec,n_candidates_tried,path_len,decoded_cvr_hop,decoded_cvr_endpoint,kde,effort,terminal_risk
uci,2,egd_euclidean,4,False,risk_check,0.004226707969792187,20.0,,,,,,
uci,2,egd_euclidean,7,False,risk_check,0.00414754101075232,20.0,,,,,,
uci,2,egd_euclidean,8,False,risk_check,0.004209167091175914,20.0,,,,,,
uci,2,egd_euclidean,13,False,risk_check,0.004233499988913536,20.0,,,,,,
uci,2,egd_euclidean,14,False,risk_check,0.004148458014242351,20.0,,,,,,
uci,2,egd_euclidean,17,False,risk_check,0.004167167004197836,20.0,,,,,,
uci,2,egd_euclidean,25,False,risk_check,0.004154792055487633,20.0,,,,,,
uci,2,egd_euclidean,26,False,risk_check,0.004236500011757016,20.0,,,,,,
uci,2,egd_euclidean,30,False,risk_check,0.004190250067040324,20.0,,,,,,
uci,2,egd_euclidean,32,False,risk_check,0.004183041048236191,20.0,,,,,,
uci,2,egd_euclidean,35,False,risk_check,0.004132125061005354,20.0,,,,,,
uci,2,egd_euclidean,38,False,risk_check,0.004209791892208159,20.0,,,,,,
uci,2,egd_euclidean,40,False,risk_check,0.0041447499534115195,20.0,,,,,,
uci,2,egd_euclidean,42,False,risk_check,0.004116332973353565,20.0,,,,,,
uci,2,egd_euclidean,43,False,risk_check,0.004129167064093053,20.0,,,,,,
uci,2,egd_euclidean,45,False,risk_check,0.004170790896750987,20.0,,,,,,
uci,2,egd_euclidean,49,False,risk_check,0.0040720830438658595,20.0,,,,,,
uci,2,egd_euclidean,50,False,risk_check,0.00422104203607887,20.0,,,,,,
uci,2,egd_euclidean,51,False,risk_check,0.004102332983165979,20.0,,,,,,
uci,2,egd_euclidean,53,False,risk_check,0.00412666704505682,20.0,,,,,,
uci,2,egd_euclidean,55,False,risk_check,0.004220250062644482,20.0,,,,,,
uci,2,egd_euclidean,56,False,risk_check,0.004059874918311834,20.0,,,,,,
uci,2,egd_euclidean,59,False,risk_check,0.004119583056308329,20.0,,,,,,
uci,2,old_latent_pruning,4,True,,0.002530624973587692,,2.0,True,True,-7.769792628041081,0.15262551605701447,
uci,2,old_latent_pruning,7,True,,0.0021889160852879286,,2.0,True,True,-7.7652806107493735,0.037901949137449265,
uci,2,old_latent_pruning,8,True,,0.0021658330224454403,,2.0,True,True,-7.761789166215818,0.03661645948886871,
uci,2,old_latent_pruning,13,True,,0.002329332986846566,,3.0,True,True,-7.776526360563995,0.6457805037498474,
uci,2,old_latent_pruning,14,True,,0.002233250066637993,,2.0,True,True,-7.775278542178641,0.41843461990356445,
uci,2,old_latent_pruning,17,False,,0.0021301250671967864,,,,,,,
uci,2,old_latent_pruning,25,False,,0.002061125007458031,,,,,,,
uci,2,old_latent_pruning,26,True,,0.002128290943801403,,2.0,True,True,-7.7605106422452295,0.042563218623399734,
uci,2,old_latent_pruning,30,True,,0.0020332500571385026,,2.0,False,False,-7.761313573296569,0.07805994898080826,
uci,2,old_latent_pruning,32,False,,0.002087124972604215,,,,,,,
uci,2,old_latent_pruning,35,True,,0.002119417069479823,,2.0,False,False,-7.728632605946027,0.02389487996697426,
uci,2,old_latent_pruning,38,True,,0.002156791975721717,,2.0,False,False,-7.781555027754282,0.1526608020067215,
uci,2,old_latent_pruning,40,True,,0.0021745000267401338,,2.0,False,False,-7.763408921968811,0.022036593407392502,
uci,2,old_latent_pruning,42,True,,0.0021487089106813073,,3.0,True,True,-7.776899102118894,0.5906027555465698,
uci,2,old_latent_pruning,43,True,,0.002111208043061197,,2.0,False,False,-7.705131624942343,0.03749130666255951,
uci,2,old_latent_pruning,45,True,,0.0021253329468891025,,2.0,False,False,-7.765770757844735,0.027959927916526794,
uci,2,old_latent_pruning,49,True,,0.002136124996468425,,2.0,True,True,-7.840633170487431,0.129860058426857,
uci,2,old_latent_pruning,50,True,,0.002173250075429678,,2.0,False,False,-7.262135617391815,0.026640884578227997,
uci,2,old_latent_pruning,51,True,,0.002119750017300248,,2.0,False,False,-7.618019417759574,0.163585364818573,
uci,2,old_latent_pruning,53,True,,0.0021909159841015935,,2.0,True,True,-7.686897590012704,0.05931298807263374,
uci,2,old_latent_pruning,55,True,,0.0020810000132769346,,2.0,False,False,-7.668352304899108,0.059166643768548965,
uci,2,old_latent_pruning,56,True,,0.0021769580198451877,,2.0,False,False,-7.669612100172801,0.05290162190794945,
uci,2,old_latent_pruning,59,True,,0.0021683749509975314,,2.0,False,False,-7.766124175708745,0.043381061404943466,
uci,3,egd_riemannian,7,False,risk_check,0.005675000022165477,20.0,,,,,,
uci,3,egd_riemannian,10,False,risk_check,0.005721999914385378,20.0,,,,,,
uci,3,egd_riemannian,12,False,risk_check,0.004476959002204239,20.0,,,,,,
uci,3,egd_riemannian,13,False,risk_check,0.004297459032386541,20.0,,,,,,
uci,3,egd_riemannian,16,False,risk_check,0.00450833304785192,20.0,,,,,,
uci,3,egd_riemannian,18,False,risk_check,0.004594000056385994,20.0,,,,,,
uci,3,egd_riemannian,20,False,risk_check,0.00430479203350842,20.0,,,,,,
uci,3,egd_riemannian,22,False,risk_check,0.004148000036366284,20.0,,,,,,
uci,3,egd_riemannian,23,False,risk_check,0.00457166600972414,20.0,,,,,,
uci,3,egd_riemannian,25,False,risk_check,0.004332542070187628,20.0,,,,,,
uci,3,egd_riemannian,26,False,risk_check,0.004267917014658451,20.0,,,,,,
