method,patient_idx,success,latency_sec,real_cvr,kde,effort,dataset,seed
dice_legacy,35,True,0.002154111862182617,True,-9.754964315910723,4.298628330230713,uci,2
growing_spheres_legacy,38,True,0.0006241798400878906,True,-8.329966498111727,5.182349663960422,uci,2
dice_legacy,38,True,0.0016179084777832031,True,-7.500745057705081,3.503485679626465,uci,2
growing_spheres_legacy,40,False,0.0012559890747070312,,,,uci,2
dice_legacy,40,False,0.014240026473999023,,,,uci,2
growing_spheres_legacy,42,True,0.0012781620025634766,True,-9.199745147373882,12.703583781615261,uci,2
dice_legacy,42,True,0.0038230419158935547,True,-7.838865271323969,7.596109390258789,uci,2
growing_spheres_legacy,43,False,0.0012819766998291016,,,,uci,2
dice_legacy,43,False,0.014813899993896484,,,,uci,2
growing_spheres_legacy,7,True,0.0011799335479736328,True,-10.23961869966806,8.294545797399564,uci,3
dice_legacy,7,False,0.014287948608398438,,,,uci,3
growing_spheres_legacy,10,True,0.0006940364837646484,True,-9.30429378885538,6.237682813615004,uci,3
dice_legacy,10,True,0.002349853515625,True,-9.267924217014146,5.258007049560547,uci,3
growing_spheres_legacy,12,True,0.0007050037384033203,True,-10.662873638067605,4.997174645447501,uci,3
dice_legacy,12,True,0.0017921924591064453,True,-10.430470949100755,4.849499225616455,uci,3
growing_spheres_legacy,13,True,0.0011029243469238281,True,-10.790462903893587,10.814498525161278,uci,3
dice_legacy,13,True,0.002310037612915039,True,-9.536360806675322,6.763177394866943,uci,3
growing_spheres_legacy,16,True,0.0008540153503417969,True,-14.921149008646523,5.348287954983943,uci,3
dice_legacy,16,True,0.0021457672119140625,True,-11.442719550413011,5.009390830993652,uci,3
growing_spheres_legacy,18,True,0.0006508827209472656,True,-12.592227633274115,3.7685686159509224,uci,3
dice_legacy,18,True,0.0027060508728027344,True,-12.139024477850118,3.7703511714935303,uci,3
growing_spheres_legacy,20,True,0.0007917881011962891,True,-8.39010486928727,5.287268071738963,uci,3
dice_legacy,20,True,0.0016407966613769531,True,-7.77278936125807,4.109908580780029,uci,3
growing_spheres_legacy,22,True,0.0008997917175292969,True,-10.084726586149973,8.114992575858295,uci,3
dice_legacy,22,True,0.0025207996368408203,True,-8.184564882462137,6.5933918952941895,uci,3
growing_spheres_legacy,23,False,0.0013089179992675781,,,,uci,3
dice_legacy,23,False,0.014401912689208984,,,,uci,3
growing_spheres_legacy,25,True,0.0005447864532470703,True,-11.442160223246646,4.872164028199387,uci,3
dice_legacy,25,True,0.0016651153564453125,True,-11.28983290726508,3.718085289001465,uci,3
growing_spheres_legacy,26,True,0.0007269382476806641,True,-19.59967705277456,6.945265932054574,uci,3
dice_legacy,26,True,0.0017120838165283203,True,-18.338085704391105,4.79075288772583,uci,3
growing_spheres_legacy,30,True,0.0008592605590820312,True,-10.284350053192608,7.990887369563998,uci,3
dice_legacy,30,True,0.00432896614074707,True,-9.284433090014291,6.572050094604492,uci,3
growing_spheres_legacy,33,True,0.0012428760528564453,True,-13.788637900536898,13.03923345109532,uci,3
dice_legacy,33,False,0.014308691024780273,,,,uci,3
growing_spheres_legacy,35,True,0.0006070137023925781,True,-14.036958931778248,5.115517053229648,uci,3
dice_legacy,35,True,0.0019969940185546875,True,-13.260450727213506,4.049746036529541,uci,3
growing_spheres_legacy,39,True,0.0019347667694091797,True,-11.700302176300665,9.414949853129723,uci,3
dice_legacy,39,True,0.003973960876464844,True,-11.836896537170928,6.360128402709961,uci,3
growing_spheres_legacy,3,True,0.0007898807525634766,True,-10.355098943199007,6.3785503543008994,uci,4
dice_legacy,3,True,0.0022039413452148438,True,-10.75164338474448,5.409217357635498,uci,4
growing_spheres_legacy,4,True,0.0007760524749755859,True,-17.740404035013363,5.71792818649746,uci,4
dice_legacy,4,True,0.002360105514526367,True,-16.172689396219386,5.370755195617676,uci,4
growing_spheres_legacy,5,True,0.0008168220520019531,True,-10.335558280913688,4.633317703054635,uci,4
dice_legacy,5,True,0.0019719600677490234,True,-9.837015463015046,4.815683841705322,uci,4
growing_spheres_legacy,11,True,0.0013420581817626953,True,-12.397191810487016,7.6513881405520925,uci,4
dice_legacy,11,True,0.0034208297729492188,True,-12.695484020480514,9.862822532653809,uci,4
growing_spheres_legacy,14,True,0.0006608963012695312,True,-9.039231839307796,4.602171418672896,uci,4
dice_legacy,14,True,0.001313924789428711,True,-8.513175508950514,3.2872190475463867,uci,4
growing_spheres_legacy,17,True,0.0005247592926025391,False,-8.079186889761225,3.991310502832291,uci,4
dice_legacy,17,True,0.0012519359588623047,True,-7.554345766471593,3.2876460552215576,uci,4
growing_spheres_legacy,19,True,0.0009980201721191406,True,-8.947951604745443,7.668181031979955,uci,4
dice_legacy,19,True,0.002498149871826172,True,-9.021446617851968,6.646533966064453,uci,4
growing_spheres_legacy,20,True,0.0008981227874755859,True,-12.562497384970614,7.3438459615844955,uci,4
dice_legacy,20,True,0.002232789993286133,True,-11.911160325541543,6.334844589233398,uci,4
growing_spheres_legacy,23,True,0.0008080005645751953,True,-11.282296917091251,7.761541902830167,uci,4
dice_legacy,23,True,0.0026369094848632812,True,-11.316918858501822,7.5105671882629395,uci,4
growing_spheres_legacy,27,True,0.0004918575286865234,False,-9.39667518366188,3.466489400485541,uci,4
dice_legacy,27,True,0.001191854476928711,False,-9.343474718118216,2.9874825477600098,uci,4
