dataset,seed,patient_idx,n_valid_targets_exhaustive,certified_infeasible,resolved_by_2k,resolved_by_synth,confirmed_blindspot,unresolved
nhanes_real,1,869,0,True,,,False,False
nhanes_real,1,870,0,True,,,False,False
nhanes_real,1,876,0,True,,,False,False
nhanes_real,1,877,0,True,,,False,False
nhanes_real,1,879,0,True,,,False,False
nhanes_real,1,880,0,True,,,False,False
nhanes_real,1,887,0,True,,,False,False
nhanes_real,1,888,0,True,,,False,False
nhanes_real,1,896,0,True,,,False,False
nhanes_real,1,899,0,True,,,False,False
nhanes_real,1,900,0,True,,,False,False
nhanes_real,1,902,0,True,,,False,False
nhanes_real,1,903,0,True,,,False,False
nhanes_real,2,0,0,True,,,False,False
nhanes_real,2,5,0,True,,,False,False
nhanes_real,2,8,0,True,,,False,False
nhanes_real,2,10,0,True,,,False,False
nhanes_real,2,11,0,True,,,False,False
nhanes_real,2,13,0,True,,,False,False
nhanes_real,2,14,0,True,,,False,False
nhanes_real,2,17,0,True,,,False,False
nhanes_real,2,19,0,True,,,False,False
nhanes_real,2,22,0,True,,,False,False
nhanes_real,2,26,0,True,,,False,False
nhanes_real,2,32,0,True,,,False,False
nhanes_real,2,33,0,True,,,False,False
nhanes_real,2,34,0,True,,,False,False
nhanes_real,2,43,0,True,,,False,False
nhanes_real,2,46,0,True,,,False,False
nhanes_real,2,47,0,True,,,False,False
nhanes_real,2,52,0,True,,,False,False
nhanes_real,2,54,0,True,,,False,False
nhanes_real,2,57,0,True,,,False,False
nhanes_real,2,64,0,True,,,False,False
nhanes_real,2,65,0,True,,,False,False
nhanes_real,2,66,0,True,,,False,False
nhanes_real,2,69,0,True,,,False,False
nhanes_real,2,73,0,True,,,False,False
nhanes_real,2,77,0,True,,,False,False
nhanes_real,2,80,0,True,,,False,False
nhanes_real,2,82,0,True,,,False,False
nhanes_real,2,84,0,True,,,False,False
nhanes_real,2,88,0,True,,,False,False
nhanes_real,2,95,0,True,,,False,False
nhanes_real,2,97,0,True,,,False,False
nhanes_real,2,101,0,True,,,False,False
nhanes_real,2,102,0,True,,,False,False
nhanes_real,2,105,0,True,,,False,False
nhanes_real,2,107,0,True,,,False,False
nhanes_real,2,110,0,True,,,False,False
nhanes_real,2,116,0,True,,,False,False
nhanes_real,2,121,0,True,,,False,False
nhanes_real,2,126,0,True,,,False,False
nhanes_real,2,127,0,True,,,False,False
nhanes_real,2,129,0,True,,,False,False
nhanes_real,2,138,0,True,,,False,False
nhanes_real,2,143,0,True,,,False,False
nhanes_real,2,150,0,True,,,False,False
nhanes_real,2,152,0,True,,,False,False
nhanes_real,2,165,0,True,,,False,False
nhanes_real,2,173,0,True,,,False,False
nhanes_real,2,179,0,True,,,False,False
nhanes_real,2,181,0,True,,,False,False
nhanes_real,2,186,0,True,,,False,False
nhanes_real,2,188,0,True,,,False,False
nhanes_real,2,190,0,True,,,False,False
nhanes_real,2,191,0,True,,,False,False
nhanes_real,2,193,0,True,,,False,False
nhanes_real,2,195,0,True,,,False,False
nhanes_real,2,196,0,True,,,False,False
nhanes_real,2,201,0,True,,,False,False
nhanes_real,2,204,0,True,,,False,False
nhanes_real,2,213,0,True,,,False,False
nhanes_real,2,214,0,True,,,False,False
nhanes_real,2,215,0,True,,,False,False
nhanes_real,2,216,0,True,,,False,False
nhanes_real,2,218,0,True,,,False,False
nhanes_real,2,222,0,True,,,False,False
nhanes_real,2,224,0,True,,,False,False
nhanes_real,2,225,0,True,,,False,False
nhanes_real,2,227,0,True,,,False,False
nhanes_real,2,238,0,True,,,False,False
nhanes_real,2,240,0,True,,,False,False
nhanes_real,2,258,0,True,,,False,False
nhanes_real,2,259,0,True,,,False,False
nhanes_real,2,260,0,True,,,False,False
nhanes_real,2,263,0,True,,,False,False
nhanes_real,2,274,0,True,,,False,False
nhanes_real,2,275,0,True,,,False,False
nhanes_real,2,282,0,True,,,False,False
nhanes_real,2,284,0,True,,,False,False
nhanes_real,2,292,0,True,,,False,False
nhanes_real,2,294,0,True,,,False,False
nhanes_real,2,298,0,True,,,False,False
nhanes_real,2,304,0,True,,,False,False
nhanes_real,2,308,0,True,,,False,False
nhanes_real,2,324,0,True,,,False,False
nhanes_real,2,329,0,True,,,False,False
nhanes_real,2,331,0,True,,,False,False
nhanes_real,2,332,0,True,,,False,False
nhanes_real,2,334,0,True,,,False,False
nhanes_real,2,335,0,True,,,False,False
nhanes_real,2,341,0,True,,,False,False
nhanes_real,2,342,0,True,,,False,False
nhanes_real,2,344,0,True,,,False,False
nhanes_real,2,346,0,True,,,False,False
nhanes_real,2,348,0,True,,,False,False
nhanes_real,2,350,0,True,,,False,False
nhanes_real,2,360,0,True,,,False,False
nhanes_real,2,362,0,True,,,False,False
nhanes_real,2,369,0,True,,,False,False
nhanes_real,2,372,0,True,,,False,False
nhanes_real,2,373,0,True,,,False,False
nhanes_real,2,376,0,True,,,False,False
nhanes_real,2,377,0,True,,,False,False
nhanes_real,2,379,0,True,,,False,False
nhanes_real,2,391,0,True,,,False,False
nhanes_real,2,392,0,True,,,False,False
nhanes_real,2,394,0,True,,,False,False
nhanes_real,2,399,0,True,,,False,False
nhanes_real,2,407,0,True,,,False,False
nhanes_real,2,415,0,True,,,False,False
nhanes_real,2,416,0,True,,,False,False
nhanes_real,2,418,0,True,,,False,False
nhanes_real,2,423,0,True,,,False,False
nhanes_real,2,425,0,True,,,False,False
nhanes_real,2,429,0,True,,,False,False
nhanes_real,2,441,0,True,,,False,False
nhanes_real,2,442,0,True,,,False,False
nhanes_real,2,443,0,True,,,False,False
nhanes_real,2,447,0,True,,,False,False
nhanes_real,2,451,0,True,,,False,False
nhanes_real,2,453,0,True,,,False,False
nhanes_real,2,461,0,True,,,False,False
nhanes_real,2,465,0,True,,,False,False
nhanes_real,2,471,0,True,,,False,False
nhanes_real,2,472,0,True,,,False,False
nhanes_real,2,473,0,True,,,False,False
nhanes_real,2,478,0,True,,,False,False
nhanes_real,2,479,0,True,,,False,False
nhanes_real,2,481,0,True,,,False,False
nhanes_real,2,483,0,True,,,False,False
nhanes_real,2,484,0,True,,,False,False
nhanes_real,2,489,0,True,,,False,False
nhanes_real,2,491,0,True,,,False,False
nhanes_real,2,503,0,True,,,False,False
nhanes_real,2,510,0,True,,,False,False
nhanes_real,2,513,0,True,,,False,False
nhanes_real,2,515,0,True,,,False,False
nhanes_real,2,520,0,True,,,False,False
nhanes_real,2,521,0,True,,,False,False
nhanes_real,2,522,0,True,,,False,False
nhanes_real,2,523,0,True,,,False,False
nhanes_real,2,527,0,True,,,False,False
nhanes_real,2,528,0,True,,,False,False
nhanes_real,2,531,0,True,,,False,False
nhanes_real,2,542,0,True,,,False,False
nhanes_real,2,545,0,True,,,False,False
nhanes_real,2,558,0,True,,,False,False
nhanes_real,2,559,0,True,,,False,False
nhanes_real,2,565,0,True,,,False,False
nhanes_real,2,569,0,True,,,False,False
nhanes_real,2,574,0,True,,,False,False
nhanes_real,2,583,0,True,,,False,False
nhanes_real,2,587,0,True,,,False,False
nhanes_real,2,596,0,True,,,False,False
nhanes_real,2,603,0,True,,,False,False
nhanes_real,2,608,0,True,,,False,False
