patient_idx,success,path_len,path,dijkstra_cost,cvr_events_original,decoded_cvr_hop,decoded_cvr_endpoint,decoded_violation_categories,kde,effort,latency_sec,dataset,seed,metric,constraints,lambda,cell
661,True,1.0,"[3631, 198]",0.8684136629104614,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.6520099015127245,2.1056880950927734,0.012479875003919005,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
663,True,1.0,"[3631, 2696]",0.5535444438457489,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-8.470916867385544,1.383805513381958,0.012617750035133213,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
664,True,1.0,"[3631, 2305]",1.1702490448951721,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.98804225410822,1.4992190599441528,0.012539791991002858,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
666,True,1.0,"[3631, 2305]",1.3352055549621582,1.0,True,True,"{""immutable"": true, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-7.003065794592467,3.079601287841797,0.012846541008912027,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
669,True,1.0,"[3631, 204]",0.6668763339519501,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-7.565207603121447,1.5000360012054443,0.011980207986198366,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
672,True,1.0,"[3631, 1232]",0.43634698092937474,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.026333170121877,0.5365527272224426,0.012122916989028454,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
676,True,1.0,"[3631, 612]",0.8018534660339356,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.728712893224592,1.8863803148269653,0.012099458021111786,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
677,True,1.0,"[3631, 131]",1.024035382270813,1.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-8.980439140026125,2.7300126552581787,0.013259332976303995,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
680,True,1.0,"[3631, 1816]",0.4530710995197296,1.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-6.2667940605522885,0.7055675983428955,0.012761500023771077,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
682,True,1.0,"[3631, 3063]",2.1136977910995483,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-8.334888901772766,6.485276222229004,0.0123512499849312,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
687,True,1.0,"[3631, 943]",0.7926875591278076,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.817361628861093,1.8325687646865845,0.01327787502668798,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
689,True,1.0,"[3631, 1787]",0.5692668735980988,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.466994918627804,1.1700098514556885,0.012466542015317827,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
690,True,1.0,"[3631, 1688]",0.6676069021224975,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.23158436494539,1.4519953727722168,0.012526792008429766,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
693,True,1.0,"[3631, 2368]",1.0340941667556762,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.628351262992999,1.5085411071777344,0.01310683402698487,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
