success,budget,n_features_changed,latency_sec,effort,admissible,dataset,seed,patient_idx
True,1.0,1.0,0.0008472910849377513,0.75,True,nhanes_real,0,208
True,3.0,3.0,0.0030407090671360493,10.5,True,nhanes_real,0,212
False,,,0.013652624911628664,,,nhanes_real,0,214
True,2.0,2.0,0.0011742080096155405,6.75,True,nhanes_real,0,215
True,1.0,1.0,0.0007625840371474624,0.75,True,nhanes_real,0,218
False,,,0.013591583003289998,,,nhanes_real,0,219
False,,,0.01358812500257045,,,nhanes_real,0,220
False,,,0.013691958039999008,,,nhanes_real,0,223
True,1.0,1.0,0.0008344580419361591,0.7500001192092896,True,nhanes_real,0,224
True,2.0,2.0,0.0011805000249296427,5.625,True,nhanes_real,0,226
False,,,0.013733417028561234,,,nhanes_real,0,229
False,,,0.013832458993420005,,,nhanes_real,0,234
False,,,0.01371424994431436,,,nhanes_real,0,235
False,,,0.013666542014107108,,,nhanes_real,0,236
False,,,0.01370870799291879,,,nhanes_real,0,238
True,1.0,1.0,0.0008929159957915545,2.25,True,nhanes_real,0,239
True,1.0,1.0,0.0008044160204008222,2.25,True,nhanes_real,0,241
True,2.0,2.0,0.0011857090285047889,5.25,True,nhanes_real,0,242
True,4.0,4.0,0.008723374921828508,9.0,True,nhanes_real,0,245
True,4.0,4.0,0.008880125009454787,12.75,True,nhanes_real,0,246
False,,,0.014690999989397824,,,nhanes_real,0,247
False,,,0.01456237502861768,,,nhanes_real,0,249
True,3.0,3.0,0.0032264579785987735,8.0,True,nhanes_real,0,250
False,,,0.013703332981094718,,,nhanes_real,0,254
False,,,0.014411334064789116,,,nhanes_real,0,255
False,,,0.014546791091561317,,,nhanes_real,0,256
False,,,0.014789458946324885,,,nhanes_real,0,257
True,2.0,2.0,0.0012718330835923553,6.75,True,nhanes_real,0,264
True,2.0,2.0,0.0012560420436784625,3.375,True,nhanes_real,0,265
True,1.0,1.0,0.0008572079241275787,2.25,True,nhanes_real,0,267
True,2.0,2.0,0.0012472920352593064,6.75,True,nhanes_real,0,270
False,,,0.014886292046867311,,,nhanes_real,0,273
False,,,0.014562707976438105,,,nhanes_real,0,278
False,,,0.014481750084087253,,,nhanes_real,0,281
False,,,0.014550708001479506,,,nhanes_real,0,282
True,2.0,2.0,0.0012736660428345203,6.0,True,nhanes_real,0,286
False,,,0.014568833052180707,,,nhanes_real,0,291
False,,,0.014543082914315164,,,nhanes_real,0,292
True,2.0,2.0,0.0012547089718282223,4.5,True,nhanes_real,0,293
False,,,0.0145699999993667,,,nhanes_real,0,296
False,,,0.014542458928190172,,,nhanes_real,0,297
True,1.0,1.0,0.0008755420567467809,2.25,True,nhanes_real,0,298
False,,,0.014543915982358158,,,nhanes_real,0,300
False,,,0.014565207995474339,,,nhanes_real,0,303
False,,,0.014503207989037037,,,nhanes_real,0,304
True,1.0,1.0,0.0008767499821260571,1.125,True,nhanes_real,0,306
True,4.0,4.0,0.008887665928341448,11.0,True,nhanes_real,0,308
True,2.0,2.0,0.0012540000025182962,5.625,True,nhanes_real,0,312
True,1.0,1.0,0.0008111250353977084,2.25,True,nhanes_real,0,313
True,2.0,2.0,0.0012002920266240835,5.25,True,nhanes_real,0,314
True,1.0,1.0,0.0008027500007301569,0.75,True,nhanes_real,0,316
True,2.0,2.0,0.0011749999830499291,4.5,True,nhanes_real,0,317
True,1.0,1.0,0.0007977079367265105,2.25,True,nhanes_real,0,318
True,2.0,2.0,0.0011702919146046042,6.0,True,nhanes_real,0,320
False,,,0.014632166945375502,,,nhanes_real,0,323
False,,,0.01450120797380805,,,nhanes_real,0,325
False,,,0.014520416967570782,,,nhanes_real,0,327
False,,,0.014465957996435463,,,nhanes_real,0,328
True,2.0,2.0,0.0012066250201314688,4.5,True,nhanes_real,0,330
False,,,0.014542874996550381,,,nhanes_real,0,331
True,1.0,1.0,0.0008628750219941139,1.5,True,nhanes_real,0,332
True,1.0,1.0,0.0008490419713780284,1.125,True,nhanes_real,0,335
True,2.0,2.0,0.0012518339790403843,3.75,True,nhanes_real,0,338
True,2.0,2.0,0.0012359999818727374,6.0,True,nhanes_real,0,339
False,,,0.014664499904029071,,,nhanes_real,0,344
False,,,0.014530457905493677,,,nhanes_real,0,348
False,,,0.014630832942202687,,,nhanes_real,0,349
False,,,0.014466332970187068,,,nhanes_real,0,351
True,3.0,3.0,0.0032852080184966326,10.5,True,nhanes_real,0,353
False,,,0.014880249975249171,,,nhanes_real,0,356
False,,,0.014782167039811611,,,nhanes_real,0,358
False,,,0.014599999994970858,,,nhanes_real,0,360
False,,,0.01477524999063462,,,nhanes_real,0,361
False,,,0.014516540919430554,,,nhanes_real,0,362
True,2.0,2.0,0.0014210829976946115,4.5,True,nhanes_real,0,363
True,2.0,2.0,0.0012720839586108923,5.25,True,nhanes_real,0,368
True,1.0,1.0,0.0008644999470561743,0.75,True,nhanes_real,0,371
True,1.0,1.0,0.0008470829343423247,2.25,True,nhanes_real,0,374
True,1.0,1.0,0.0008545420132577419,2.25,True,nhanes_real,0,375
True,2.0,2.0,0.0012429169146344066,5.25,True,nhanes_real,0,386
False,,,0.014700458967126906,,,nhanes_real,0,392
False,,,0.014544666977599263,,,nhanes_real,0,398
True,2.0,2.0,0.0012758750235661864,5.25,True,nhanes_real,0,400
True,2.0,2.0,0.00125662493519485,6.75,True,nhanes_real,0,401
False,,,0.014618291985243559,,,nhanes_real,0,402
False,,,0.01451641705352813,,,nhanes_real,0,403
True,2.0,2.0,0.0012616669991984963,5.625,True,nhanes_real,0,410
False,,,0.014562041964381933,,,nhanes_real,0,411
